Country,Year,CO2 emission (Tons)
South Korea,2005,4.724557E+08
South Korea,2006,4.929469E+08
South Korea,2007,4.885514E+08
South Korea,2008,4.944209E+08
South Korea,2009,5.083381E+08
South Korea,2010,5.183259E+08
South Korea,2011,5.304866E+08
South Korea,2012,5.801299E+08
South Korea,2013,6.021830E+08
South Korea,2014,6.038287E+08
South Korea,2015,6.023116E+08
South Korea,2016,5.887343E+08
South Korea,2017,6.074785E+08
South Korea,2018,6.142266E+08
South Korea,2019,6.236870E+08
South Korea,2020,6.267448E+08
Russia,2005,1.511914E+09
Russia,2006,1.527049E+09
Russia,2007,1.528156E+09
Russia,2008,1.592303E+09
Russia,2009,1.597325E+09
Russia,2010,1.621468E+09
Russia,2011,1.504779E+09
Russia,2012,1.595843E+09
Russia,2013,1.677642E+09
Russia,2014,1.683891E+09
Russia,2015,1.640747E+09
Russia,2016,1.623124E+09
Russia,2017,1.573022E+09
Russia,2018,1.545660E+09
Russia,2019,1.572014E+09
Russia,2020,1.623757E+09
Tanzania,2005,3.978593E+06
Tanzania,2006,5.395919E+06
Tanzania,2007,6.009584E+06
Tanzania,2008,6.413235E+06
Tanzania,2009,6.257558E+06
Tanzania,2010,6.463282E+06
Tanzania,2011,6.287901E+06
Tanzania,2012,7.331722E+06
Tanzania,2013,8.661963E+06
Tanzania,2014,1.047989E+07
Tanzania,2015,1.147878E+07
Tanzania,2016,1.138273E+07
Tanzania,2017,1.241155E+07
Tanzania,2018,1.159193E+07
Tanzania,2019,1.205521E+07
Tanzania,2020,1.228343E+07
Kosovo,2005,5.925164E+03
Kosovo,2006,6.265551E+04
Kosovo,2007,8.272337E+04
Kosovo,2008,9.301134E+04
Kosovo,2009,7.975105E+04
Kosovo,2010,8.122835E+04
Kosovo,2011,6.746642E+04
Kosovo,2012,1.008695E+05
Kosovo,2013,1.428143E+05
Kosovo,2014,1.998385E+05
Kosovo,2015,2.219434E+05
Kosovo,2016,2.029713E+05
Kosovo,2017,2.266277E+05
Kosovo,2018,1.882057E+05
Kosovo,2019,1.916232E+05
Kosovo,2020,1.866377E+05