,Lasso,Ridge,Random Forest,SVR,K Nearest Neighbor
0,6.0919218057124525,6.057775944333664,5.958147921562195,6.078418331669019,6.08556079864502
1,5.961575158684045,5.955265807438517,5.976361165046692,5.9732076506113625,6.085560798645021
2,5.983714393494957,5.96294669867181,5.960640821456909,5.997202518275236,6.08556079864502
3,4.990286418818755,4.9070444865692595,5.021372337341308,4.834332131581055,5.114216804504391
4,5.176169127219764,5.096386595538809,5.179606099128723,5.061118238630348,5.11421680450439
5,5.112841905827366,5.062085269788603,5.2011173057556155,5.015408012509289,5.11421680450439
6,5.725632999719096,5.770889922806473,5.797082939147948,5.738120495213257,5.67427062988281
7,5.654306590371901,5.711484744775238,5.612166795730591,5.692223244980147,5.67427062988281
8,5.713866698961517,5.756131220956904,5.8108779287338255,5.7003012213546125,5.674270629882809
9,6.370781714179423,6.281040713558564,6.361826186180115,6.217755776029554,6.45114898681641
10,6.164771425441608,6.135704379286597,6.0988342952728285,6.049034368126746,6.45114898681641
11,6.297061125057245,6.253362664684827,6.325090403556824,6.194239734749095,6.45114898681641
12,4.992836166559188,5.034700333523036,5.121535956859588,5.035310667081381,4.99828481674194
13,4.650671644185292,4.780969401916117,4.632334880828857,4.784172330377038,4.99828481674194
14,4.900743980449861,4.974199490639721,4.992695145606994,4.970830875159669,4.99828481674194
15,4.941331608196733,5.0239760875236374,4.827129850387573,4.957844979646557,4.93673753738403
16,5.143966812812156,5.195970218004728,4.879370276927948,5.130453268733396,4.93673753738403
17,5.096260734049419,5.180389260660227,4.874631857872009,5.089578852343498,4.93673753738403
18,7.137865553706719,7.1555159043368395,7.216371517181397,7.152373081406273,7.10907649993896
19,7.065463217912199,7.0811940485909535,7.14862850189209,7.040035015081349,7.10907649993896
20,7.09302589147759,7.113284863234497,7.154335479736327,7.093267787177359,7.10907649993896
21,6.148875711154626,6.206523833402014,6.059589104652405,6.217219415821324,5.94225025177002
22,6.249941083369419,6.256423124388258,6.15908046245575,6.2961592899307615,5.94225025177002
23,6.258854583971717,6.2905730159093025,6.257327046394348,6.300478850921882,5.94225025177002
24,5.11388097751083,5.064512882727106,5.166567313671111,5.0227193847208635,5.14412021636963
25,5.516502683497155,5.357027680964525,5.549720907211304,5.306083705639201,5.14412021636963
26,5.312198892285558,5.213662771299933,5.411092362403869,5.132738333576134,5.14412021636963
27,6.271156153386667,6.254377594719609,6.230142025947572,6.2079064868356735,6.35029792785645
28,5.878330003656081,5.95556163161457,6.0974031352996825,5.88360566824918,6.35029792785645
29,6.042627025576259,6.0690714599678115,6.051823859214783,6.033680272744169,6.350297927856449
30,7.596232818082006,7.65332293271789,7.569509778022766,7.627829110713156,7.693003177642819
31,7.521276884594467,7.5827139210977315,7.5613808345794675,7.550393697518194,7.693003177642819
32,7.597910770391519,7.689522040402722,7.517398171424865,7.6640896237442515,7.69300317764282
33,5.873955425380743,5.869984505485893,5.725088086128235,5.90644430079397,6.00423717498779
34,5.400161403827435,5.5271240078031845,5.409131054878235,5.504891829236049,6.00423717498779
35,5.614182244299158,5.667219200075373,5.490479245185852,5.6921357178803245,6.00423717498779
36,5.913121855181487,5.972359973288029,6.017781252861023,5.955545655696943,5.80913114547729
37,5.6060791407082835,5.707106196519697,5.575477161407471,5.707338104771116,5.80913114547729
38,5.809617263024078,5.8616875128152985,5.842230987548829,5.85503069091431,5.80913114547729
39,4.459750281065432,4.435097009164812,4.480261144638061,4.4687138465576535,4.32783174514771
40,4.557614014179146,4.476007763576582,4.514199194908142,4.457835398338039,4.32783174514771
41,4.502276798014977,4.530060111142484,4.305181620121002,4.525599994858117,4.32783174514771
42,6.372416113216071,6.4557261916810855,6.369606080055237,6.469657065783286,6.45482063293457
43,5.760209172867424,5.998578034660092,5.809861154556274,5.983908758112312,6.45482063293457
44,6.065734275038926,6.18799552824741,6.005753335952758,6.212489651765855,6.45482063293457
45,4.917941065256854,4.917915288177773,4.917641718387603,4.877954321296448,4.89183568954468
46,5.118348600855792,5.093026826237189,5.150749335289001,5.0450675352728975,4.89183568954468
47,5.032074155149716,5.059147406298507,5.029113688468933,4.996001317431711,4.89183568954468
48,7.0564097584291225,7.1670045910599,7.044816088676453,7.125705909999175,7.03547239303589
49,7.269677637968823,7.325337236273985,7.08025682926178,7.270342706521381,7.03547239303589
50,7.132795036458797,7.2540910242886145,7.064029603004456,7.123557768612107,7.03547239303589
51,5.010661640899068,4.985005842094239,4.72736798286438,5.030802102110448,4.96680974960327
52,5.241521030433428,5.256618257072896,5.128935401439667,5.27820096739436,4.96680974960327
53,5.102629606776448,5.097862901715619,4.9484165263175965,5.12364679242342,5.4640154838562
54,3.5184490793353698,3.5110851867021706,3.4804050588607796,3.502180468811451,3.24876976013184
55,4.063765649536094,3.9055462693559426,3.692969403266907,3.90992272691563,3.24876976013184
56,3.83582380878088,3.749988292535301,3.708404240608216,3.712222956367219,3.24876976013184
57,7.247573533859402,7.253452733698045,7.239349799156189,7.265868502982704,7.33177995681763
58,7.172299250885127,7.211964067781854,7.160543832778931,7.186244235920247,7.33177995681763
59,7.161694612892676,7.205940075927409,7.222347254753113,7.220436148111281,7.33177995681763
60,6.44331207059653,6.427404627862837,6.422749819755555,6.395113258048701,6.44541692733765
61,6.51613593655718,6.491401378155857,6.446188850402832,6.446676103393321,6.44541692733765
62,6.532069143222364,6.5448683340812615,6.442545962333679,6.488378817635015,6.44541692733765
63,5.9930485972748535,5.940178867434743,5.925115518569946,5.921925201492064,5.90803909301758
64,6.1296908305070605,6.082925036024239,5.908655053774517,6.062179721756996,5.908039093017581
65,6.048434376893062,6.054960408022075,5.952809693018595,6.0398684346836315,5.90803909301758
66,4.708743630636354,4.670169272944856,4.592130715847015,4.674229092266165,4.45254802703857
67,4.419638770726869,4.414055669877474,4.4164571905136105,4.431706325442297,4.45254802703857
68,4.5519882119729544,4.502097895669279,4.581564242839813,4.5318857477542505,4.45254802703857
69,6.118338738781498,6.158640829769763,6.182920393943786,6.175466476362777,6.27226829528809
70,6.117906132906466,6.200504046587583,6.3074890947341915,6.188116591173644,6.27226829528809
71,6.15216867140956,6.246065689401308,6.275645203590393,6.244303336268791,6.27226829528809
72,4.635705310229104,4.673202858634786,4.686096491813659,4.686342737164415,4.61885023117065
73,4.616597423198523,4.704175427553619,4.622954394817352,4.724701962612135,4.61885023117065
74,4.6602957451606954,4.743635971170649,4.685832834243774,4.763452115939691,4.61885023117065
75,6.345690878251852,6.453319957992531,6.399834356307983,6.5533482794905975,6.42514419555664
76,6.319412311876982,6.452974941409792,6.3830368614196775,6.534673498650028,6.42514419555664
77,6.362103583127075,6.486590096720612,6.39881275177002,6.543817437197168,5.80913114547729
78,5.662619299300838,5.701415656041874,5.594418578147888,5.770412571953107,5.68522071838379
79,6.085209239789743,6.0860614541816185,5.998230700492859,6.054442562377863,5.68522071838379
80,5.791024638920929,5.870026954778728,5.840409483909607,5.7848034986311685,5.68522071838379
81,6.106239023066777,6.210375226133009,6.1103793907165525,6.192788341226793,6.06409788131714
82,6.3245475438812795,6.387739863890181,6.320130410194397,6.361811208045884,6.06409788131714
83,6.252434048759237,6.353976308922475,6.284908056259156,6.310945072701548,6.06409788131714
84,6.452469445633573,6.475304322674642,6.445471968650818,6.46700115581371,6.43194532394409
85,6.134707114718222,6.193999225689077,6.069584150314331,6.196864919063733,6.43194532394409
86,6.312907414875033,6.330691384711697,6.309428896903992,6.337674268466463,6.431945323944089
87,5.745443140920356,5.752219682331558,5.819028291702271,5.759971460247362,5.80345058441162
88,5.792974826133341,5.80619979396739,5.833719487190247,5.825402753362033,5.80345058441162
89,5.787014948871212,5.826610334553348,5.838669624328613,5.817783653696216,5.80345058441162
90,6.0447796371559335,6.083572285135514,6.128827309608459,6.063258524110102,6.267745018005369
91,5.363433465161123,5.586754245237492,5.610639305114746,5.5400554135461615,6.267745018005369
92,5.81766331005057,5.9081919134947105,5.952692618370056,5.895485618949243,6.26774501800537
93,5.52549719512469,5.527975415282262,5.550673332214356,5.463885548678837,5.44052362442017
94,5.537214943303592,5.542136016666766,5.540885691642761,5.479827289780706,5.44052362442017
95,5.500531939517505,5.5431560245349285,5.591444025039673,5.461948179411371,5.44052362442017
96,6.474642218607231,6.481717486507157,6.436920619010925,6.468352863597266,6.5612473487853995
97,6.4969487063729625,6.497496585428981,6.434273791313172,6.477896696377348,6.5612473487854
98,6.484365925418485,6.508917893530075,6.43976393699646,6.49111631166989,6.5612473487853995
99,5.001114906048619,5.0318332829302435,4.909456384181976,5.190556406531988,5.03486347198486
100,4.935165407073116,4.960544714057017,4.912383260726928,5.011571968083677,5.03486347198486
101,4.97929541571659,5.076905800714526,4.863719115257263,5.180309125296395,5.03486347198486
102,5.993327290472201,5.925742937597297,5.898598747253418,5.920714338835017,5.90281677246094
103,5.925547777744778,5.854809775028315,5.905293679237365,5.8433995280149755,5.90281677246094
104,5.940772073476217,5.863119830344397,5.909428925514221,5.844201999090165,5.90281677246094
105,6.475608669505586,6.4686277335286375,6.393305358886718,6.443487948821433,6.45744943618774
106,6.529862759497639,6.507474626960395,6.4000378465652465,6.484900729244947,6.45744943618774
107,6.541753524392275,6.5521767082626265,6.414514527320862,6.517439233831913,6.45744943618774
108,7.341978586723185,7.353729516717164,7.337915506362915,7.335286559267848,7.39809274673462
109,7.302506252105449,7.305015774562351,7.347486324310303,7.281309500756782,7.39809274673462
110,7.3368830136765375,7.372999903712834,7.352003536224365,7.357656054274974,7.398092746734619
111,5.51313706037656,5.624887063351975,5.458613133430481,5.612201977900787,5.4640154838562
112,5.46060751703825,5.613363931507073,5.441528706550598,5.55398100289313,5.4640154838562
113,5.494871230730862,5.617270712908029,5.487957887649536,5.571518688707448,5.4640154838562
114,3.696597877205552,3.6336151803702523,3.357959735393524,3.723226935628082,3.64015483856201
115,3.852722910602303,3.812637756045415,3.501253192424774,3.876493266631206,3.64015483856201
116,3.752080960457187,3.7313347007961006,3.4876795291900633,3.7511966079312113,3.64015483856201
117,6.029153428745919,6.034583445303548,5.9540822267532345,5.965943784671827,6.02215147018433
118,5.946777917717431,5.976550115093984,5.9933842420578,5.908849136813052,6.02215147018433
119,6.008355107304627,6.029250133370343,5.995162267684936,5.960776046102074,6.02215147018433
120,5.128902894832675,5.136312700495999,5.118923411369324,5.149168442111209,4.87207365036011
121,5.065274695601047,5.0833857492496355,5.033760647773743,5.077527709500492,4.87207365036011
122,5.070105361872277,5.069397504899447,4.923185734748841,5.0740742898335665,4.87207365036011
123,4.788750119559551,4.743950072608083,4.700197653770446,4.799268052722374,4.94805145263672
124,4.6387183108122825,4.635730918685967,4.669379494190216,4.596293592915805,4.94805145263672
125,4.698242051440513,4.745168926969326,4.648798005580902,4.761116586766553,4.94805145263672
126,4.7246717044328115,4.666817291359819,4.613146917819977,4.614401985898899,4.70176219940186
127,5.207842088240713,5.105421817935155,4.9162391710281375,5.136330632081586,4.70176219940186
128,4.988503118411374,4.945097599333128,4.8882301902771,4.843609531277826,4.70176219940186
129,7.111834938973639,7.188106479479456,7.096845631599425,7.174652108811307,7.157151222229
130,6.905294783237484,7.007421519392258,7.030918841361999,6.969453658675098,7.157151222229
131,7.035058547956337,7.090526802608555,7.07551676273346,7.044797214181193,7.157151222229
132,6.878371142570298,6.905889705659918,6.94937439918518,6.882067801884608,6.94370126724243
133,6.9413587722116565,6.9512609676674515,6.983431730270385,6.898932983213859,6.94370126724243
134,6.903081925405707,6.864241283158402,6.95297908782959,6.810889159578727,6.943701267242431
135,6.514201964734903,6.526292654919718,6.421136317253112,6.558922825806695,6.60033702850342
136,6.366785281589595,6.430750572568123,6.421164383888245,6.438971388252531,6.60033702850342
137,6.447062638130764,6.500387969027483,6.378167576789856,6.5242388956836574,6.60033702850342
138,3.121563023689182,3.157959976324007,3.3642389512062074,3.179066203386588,2.6935231685638406
139,3.3328362763601316,3.2919269942741036,3.4636852669715883,3.348857880242468,2.69352316856384
140,3.338920715703878,3.347341130819046,3.554368555545807,3.4194241694584715,3.64015483856201
